src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Avocado,9.5,1.615,0,11/07/19,אבוקדו
rami levi,Basmati rice,10.9,0,4,11/07/19,אורז בסמטי
rami levi,Cutted pineapple,3.9,0,2,11/07/19,אננס חתוך
rami levi,Peach,9.5,1.395,0,11/07/19,אפרסק
rami levi,Bamba Osem,4.2,0,1,11/07/19,במבה אוסם
rami levi,Banana,7.8,0.6,0,11/07/19,בננה
rami levi,Dry onion,2.18,1.45,0,11/07/19,בצל יבש
rami levi,Halak meat number 5,49.9,2.45,0,11/07/19,בשר חלק מס 5
rami levi,Jumex Pineapple juice,7.6,0,1,11/07/19,גומקס מיץ אננס
rami levi,Tiny carrots,4.9,0.8,0,11/07/19,גזר גמדי
rami levi,Minced chicken,10.9,0,3,11/07/19,הודו טחון עוף
rami levi,Peanut butter,9.9,0,1,11/07/19,חמאת בוטנים
rami levi,Lily toilet paper,15.9,0,2,11/07/19,טיק טק בקבוקון
rami levi,Yolo Chocolate,3.5,0,3,11/07/19,יולו שוקולד
rami levi,Cauliflower,9.9,0.8,0,11/07/19,כרובית 
rami levi,Tomatoes,1.7,2.535,0,11/07/19,עגבניה
rami levi,Lentils in the package,7.9,0,1,11/07/19,עדשים במארז
rami levi,Green grapes,14.7,1.125,0,11/07/19,ענבים ירוקים
rami levi,Amnon fish,29.9,1.465,0,11/07/19,פילה אמנון
rami levi,Coca Cola Bottle,6.5,0,1,11/07/19,קוקה קולה בקבוק 
rami levi,Kinder Egg Surprise Case,13.9,0,1,11/07/19,קינדר ביצת הפתעה מארז 
rami levi,Squash,5.9,2.665,0,11/07/19,קישוא
rami levi,quarter of a lamb Mahfood,74.9,3.83,0,11/07/19,רבע כבש מחפוד
rami levi,Cold tea,5.9,0,1,11/07/19,תה קר
